gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
10947-10947_game_4,12.0,0.42,0.0,1.0,10.0,0.8,4.0,10.0,0.7,0.25,8.0,0.5,0.75,16.0,0.62,1.0,12.0,0.5,1.0,9.0,0.67,11.0,7.0,0.57,0.25,12.0,0.83,0.0,3.0,0.33,0.0
10947-10947_game_5,7.0,0.57,0.25,0.0,12.0,0.42,0.0,3.0,0.67,2.0,10.0,0.7,0.25,11.0,0.45,1.0,3.0,0.67,8.0,3.0,0.67,3.5,6.0,0.83,6.0,10.0,0.8,2.0,18.0,0.61,0.0
LOLTMNT05_27504,10.0,0.5,2.0,0.0,4.0,0.75,3.0,6.0,0.17,0.25,10.0,0.6,0.67,10.0,0.6,5.0,1.0,1.0,2.33,3.0,0.33,1.0,6.0,0.33,0.6,2.0,0.5,0.0,8.0,0.5,0.25
LOLTMNT01_81164,1.0,1.0,8.0,1.0,2.0,0.5,2.5,5.0,1.0,1.5,1.0,0.0,0.0,1.0,1.0,6.0,3.0,0.33,6.5,6.0,1.0,12.0,2.0,0.5,5.0,4.0,1.0,0.0,3.0,0.67,1.0
LOLTMNT01_81176,4.0,0.25,4.0,0.0,3.0,1.0,2.0,2.0,0.5,0.2,5.0,1.0,1.5,3.0,0.33,6.5,1.0,1.0,1.5,3.0,0.33,6.5,3.0,1.0,7.0,3.0,0.33,2.0,5.0,1.0,0.2
LOLTMNT05_28530,9.0,0.56,3.0,0.0,3.0,0.67,0.0,4.0,0.25,1.33,4.0,0.5,0.2,3.0,0.67,5.0,10.0,0.6,5.0,4.0,0.25,0.17,6.0,0.83,7.0,8.0,0.5,0.25,1.0,1.0,1.0
LOLTMNT01_80838,1.0,1.0,2.0,1.0,4.0,0.25,4.0,5.0,1.0,1.5,1.0,0.0,0.0,3.0,1.0,11.0,1.0,0.0,0.4,3.0,1.0,7.0,3.0,0.33,6.5,5.0,1.0,0.2,3.0,0.33,2.0
LOLTMNT05_27505,9.0,0.56,3.0,0.0,10.0,0.5,2.0,10.0,0.6,0.67,4.0,0.5,1.0,3.0,0.0,4.0,10.0,0.6,5.0,4.0,0.25,0.4,3.0,0.33,1.0,3.0,0.33,0.0,1.0,1.0,0.0
LOLTMNT05_28531,1.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,0.6,0.0,4.0,0.25,1.0,2.0,0.5,0.2,10.0,0.5,3.0,2.0,0.5,7.0,3.0,0.67,11.0,5.0,0.4,0.0,8.0,0.25,0.5
LOLTMNT05_27512,2.0,0.0,0.0,0.0,5.0,0.6,0.33,5.0,0.2,0.0,3.0,1.0,0.0,6.0,0.17,0.25,6.0,0.67,5.0,2.0,0.5,7.0,3.0,0.67,11.0,7.0,0.43,0.0,8.0,0.62,3.0
LOLTMNT02_69457,1.0,1.0,3.0,1.0,1.0,0.0,0.33,2.0,0.5,1.0,2.0,0.0,0.4,4.0,1.0,3.5,2.0,0.5,4.0,2.0,0.5,0.4,2.0,0.0,6.0,4.0,0.75,1.0,1.0,0.0,0.0
LOLTMNT05_27513,5.0,1.0,4.0,1.0,2.0,0.5,6.0,4.0,0.5,0.0,8.0,0.0,1.0,6.0,0.67,5.0,6.0,0.17,0.25,2.0,0.5,0.33,3.0,0.0,0.0,6.0,1.0,0.0,4.0,0.5,0.0
LOLTMNT02_69472,3.0,1.0,2.0,1.0,5.0,0.6,3.0,1.0,1.0,4.5,5.0,0.6,0.6,1.0,1.0,6.0,2.0,0.5,3.0,2.0,1.0,2.0,1.0,0.0,3.0,4.0,0.75,1.0,8.0,0.5,0.33
LOLTMNT02_68492,2.0,0.5,3.0,1.0,2.0,0.0,0.8,1.0,1.0,0.5,2.0,0.0,0.14,1.0,1.0,4.0,3.0,0.0,0.43,2.0,0.5,4.33,1.0,0.0,0.33,2.0,0.5,1.0,1.0,0.0,0.0
LOLTMNT02_68504,1.0,0.0,1.0,0.0,7.0,0.29,0.5,2.0,0.5,0.0,2.0,1.0,0.0,2.0,0.5,1.33,6.0,0.5,0.33,1.0,0.0,0.5,1.0,1.0,4.0,1.0,0.0,0.4,4.0,0.75,1.0
LOLTMNT02_69509,2.0,1.0,7.0,1.0,1.0,0.0,0.25,2.0,1.0,0.67,2.0,0.0,0.4,3.0,0.67,4.0,2.0,0.0,0.6,3.0,0.33,4.0,4.0,0.5,1.0,3.0,1.0,0.67,1.0,0.0,0.0
LOLTMNT02_68514,1.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,1.0,1.5,2.0,0.0,0.33,1.0,1.0,3.0,1.0,0.0,1.33,1.0,1.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
LOLTMNT02_68517,1.0,0.0,0.0,0.0,4.0,0.75,7.0,2.0,0.0,0.4,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.67,6.0,3.0,0.67,0.0,2.0,0.5,4.0,2.0,0.5,0.0,4.0,0.75,0.0
LOLTMNT02_69514,2.0,1.0,0.5,1.0,1.0,0.0,1.67,1.0,1.0,5.0,3.0,0.67,0.0,2.0,1.0,1.0,3.0,0.33,4.0,2.0,0.5,0.5,1.0,0.0,4.0,3.0,0.67,0.17,2.0,0.0,0.5
LOLTMNT02_68522,2.0,1.0,2.0,1.0,4.0,0.75,0.29,4.0,0.75,1.0,2.0,0.5,1.4,3.0,0.67,1.75,2.0,0.0,0.25,2.0,0.5,5.0,2.0,0.5,0.67,1.0,1.0,0.5,1.0,0.0,0.33
LOLTMNT02_69522,1.0,0.0,0.4,0.0,2.0,0.5,1.0,1.0,0.0,0.8,1.0,1.0,2.0,2.0,0.0,1.2,2.0,0.5,1.0,1.0,0.0,0.8,1.0,1.0,2.5,2.0,0.5,0.6,1.0,1.0,0.17
LOLTMNT02_68528,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,11.0,1.0,0.0,0.25,3.0,1.0,3.5,2.0,0.0,0.0,3.0,0.67,1.33,1.0,0.0,0.14,2.0,0.5,1.33,1.0,0.0,1.0
